cpu,align_entry,padding,ev_name,ref_cycles,ev_count
skl,16,NOP96,MISPREDICTED_BRANCH_RETIRED,45809.0,545595264
skl,16,NOP96,UOPS_DISPATCHED_PORT_0,45696.0,1914516936
skl,16,NOP96,UOPS_DISPATCHED_PORT_1,45472.0,1965696818
skl,16,NOP96,UOPS_DISPATCHED_PORT_2,45879.0,5855532620
skl,16,NOP96,UOPS_DISPATCHED_PORT_3,45320.0,5569548447
skl,16,NOP96,UOPS_DISPATCHED_PORT_4,45793.0,3586692674
skl,16,NOP96,UOPS_DISPATCHED_PORT_5,45641.0,2150198167
skl,16,NOP96,UOPS_DISPATCHED_PORT_6,45878.0,6834798998
skl,16,NOP96,UOPS_DISPATCHED_PORT_7,45394.0,2059231417
skl,16,NOP96,UOPS_ISSUED_ALL,45884.0,34344190057
skl,16,NOP96,UOPS_RETIRED_ANY,45885.0,20335324850
skl,16,NOP96,UOPS_RETIRED_RETIRE_SLOTS,45363.0,17062850071
skl,16,NOP97,BACLEARS_ANY,45586.0,21282061
skl,16,NOP97,BRANCH_INSTRUCTIONS_RETIRED,45702.0,4108201625
skl,16,NOP97,DSB2MITE_SWITCHES_PENALTY_CYCLES,45591.0,300820300
skl,16,NOP97,IDQ_DSB_UOPS,45769.0,38509848407
skl,16,NOP97,IDQ_MITE_UOPS,45830.0,354803301
skl,16,NOP97,IDQ_MS_UOPS,45928.0,11145504
skl,16,NOP97,IDQ_UOPS_NOT_DELIVERED_CORE,45976.0,17336289857
skl,16,NOP97,INT_MISC_CLEAR_RESTEER_CYCLES,45828.0,2077338476
skl,16,NOP97,INT_MISC_RECOVERY_CYCLES,45696.0,3001224693
skl,16,NOP97,LSD_UOPS,45639.0,0
skl,16,NOP97,MISPREDICTED_BRANCH_RETIRED,45301.0,539094493
skl,16,NOP97,UOPS_DISPATCHED_PORT_0,45528.0,1872025849
skl,16,NOP97,UOPS_DISPATCHED_PORT_1,45593.0,1953159969
skl,16,NOP97,UOPS_DISPATCHED_PORT_2,45591.0,5776617585
skl,16,NOP97,UOPS_DISPATCHED_PORT_3,45781.0,5291764377
skl,16,NOP97,UOPS_DISPATCHED_PORT_4,45836.0,3526142751
skl,16,NOP97,UOPS_DISPATCHED_PORT_5,46037.0,2137173991
skl,16,NOP97,UOPS_DISPATCHED_PORT_6,45952.0,6762749196
skl,16,NOP97,UOPS_DISPATCHED_PORT_7,46042.0,2157710188
skl,16,NOP97,UOPS_ISSUED_ALL,45901.0,33824929032
skl,16,NOP97,UOPS_RETIRED_ANY,45945.0,20335979382
skl,16,NOP97,UOPS_RETIRED_RETIRE_SLOTS,45699.0,17062797467
skl,16,NOP112,BACLEARS_ANY,37396.0,1968704
skl,16,NOP112,BRANCH_INSTRUCTIONS_RETIRED,36684.0,4108201252
skl,16,NOP112,DSB2MITE_SWITCHES_PENALTY_CYCLES,36313.0,40594813
skl,16,NOP112,IDQ_DSB_UOPS,37323.0,32923694127
skl,16,NOP112,IDQ_MITE_UOPS,36971.0,244298951
skl,16,NOP112,IDQ_MS_UOPS,36496.0,9798709
skl,16,NOP112,IDQ_UOPS_NOT_DELIVERED_CORE,36421.0,13299514706
skl,16,NOP112,INT_MISC_CLEAR_RESTEER_CYCLES,36978.0,1327409249
skl,16,NOP112,INT_MISC_RECOVERY_CYCLES,36726.0,2047447368
skl,16,NOP112,LSD_UOPS,37372.0,0
skl,16,NOP112,MISPREDICTED_BRANCH_RETIRED,37261.0,375101693
skl,16,NOP112,UOPS_DISPATCHED_PORT_0,36557.0,1784601764
skl,16,NOP112,UOPS_DISPATCHED_PORT_1,36751.0,1750479523
skl,16,NOP112,UOPS_DISPATCHED_PORT_2,36979.0,5063715574
skl,16,NOP112,UOPS_DISPATCHED_PORT_3,36704.0,4759812211
skl,16,NOP112,UOPS_DISPATCHED_PORT_4,37010.0,3276344054
skl,16,NOP112,UOPS_DISPATCHED_PORT_5,37246.0,1938769751
skl,16,NOP112,UOPS_DISPATCHED_PORT_6,37349.0,6073801682
skl,16,NOP112,UOPS_DISPATCHED_PORT_7,36504.0,1675191177
skl,16,NOP112,UOPS_ISSUED_ALL,37226.0,29316348777
skl,16,NOP112,UOPS_RETIRED_ANY,36889.0,20335201029
